day,opentime,openprice,closetime,closeprice
2019/8/2,2019/8/2 9:01,584,2019/8/2 14:58,581
2019/8/5,2019/8/5 9:01,582.4,2019/8/5 14:58,576.2
2019/8/6,2019/8/6 9:01,579.4,2019/8/6 14:58,578.4
2019/8/7,2019/8/7 9:01,577.6,2019/8/7 14:58,578.6
2019/8/8,2019/8/8 9:01,577.2,2019/8/8 14:58,577.8
2019/8/9,2019/8/9 9:01,577.2,2019/8/9 14:58,574.2
2019/8/12,2019/8/12 9:01,576.4,2019/8/12 14:58,578.8
2019/8/13,2019/8/13 9:01,576.6,2019/8/13 14:58,572.6
2019/8/14,2019/8/14 9:01,579,2019/8/14 14:58,578.8
2019/8/15,2019/8/15 9:01,578,2019/8/15 14:58,580.6
2019/8/16,2019/8/16 9:01,581.2,2019/8/16 14:58,584.2
2019/8/19,2019/8/19 9:01,583.6,2019/8/19 14:58,585.4
2019/8/20,2019/8/20 9:01,587.6,2019/8/20 14:58,590.8
2019/8/21,2019/8/21 9:01,578,2019/8/21 14:58,583.4
2019/8/22,2019/8/22 9:01,587,2019/8/22 14:58,586.6
2019/8/23,2019/8/23 9:01,583.6,2019/8/23 14:58,585.4
2019/8/26,2019/8/26 9:01,588.6,2019/8/26 14:58,586.6
2019/8/27,2019/8/27 9:01,586.6,2019/8/27 14:58,589.8
2019/8/28,2019/8/28 9:01,586.2,2019/8/28 14:58,581.2
2019/8/29,2019/8/29 9:01,581.4,2019/8/29 14:58,579
2019/8/30,2019/8/30 9:01,582.6,2019/8/30 14:58,583
2019/9/2,2019/9/2 9:01,582.2,2019/9/2 14:58,583.6
2019/9/3,2019/9/3 9:01,583.8,2019/9/3 14:58,583.8
2019/9/4,2019/9/4 9:01,585,2019/9/4 14:58,590.2
2019/9/5,2019/9/5 9:01,592,2019/9/5 14:58,592.4
2019/9/6,2019/9/6 9:01,592.2,2019/9/6 14:58,593.8
2019/9/9,2019/9/9 9:01,593.8,2019/9/9 14:58,592.2
2019/9/10,2019/9/10 9:01,592.4,2019/9/10 14:58,590.8
2019/9/11,2019/9/11 9:01,589.6,2019/9/11 14:58,590.8
2019/9/12,2019/9/12 9:01,590.6,2019/9/12 14:58,588.6
2019/9/16,2019/9/16 9:01,590.4,2019/9/16 14:58,587.8
2019/9/17,2019/9/17 9:01,580.4,2019/9/17 14:58,584.8
2019/9/18,2019/9/18 9:01,583.4,2019/9/18 14:58,584.4
2019/9/19,2019/9/19 9:01,584,2019/9/19 14:58,582
2019/9/20,2019/9/20 9:01,580.6,2019/9/20 14:58,576.4
2019/9/23,2019/9/23 9:01,576.6,2019/9/23 14:58,573.4
2019/9/24,2019/9/24 9:01,576.6,2019/9/24 14:58,572.4
2019/9/25,2019/9/25 9:01,574,2019/9/25 14:58,575.8
2019/9/26,2019/9/26 9:01,575.6,2019/9/26 14:58,573.2
2019/9/27,2019/9/27 9:01,570.2,2019/9/27 14:58,568
2019/9/30,2019/9/30 9:01,571.4,2019/9/30 14:58,569.8
2019/10/8,2019/10/8 9:01,570,2019/10/8 14:58,566.6
2019/10/9,2019/10/9 9:01,567.8,2019/10/9 14:58,567.2
2019/10/10,2019/10/10 9:01,566.6,2019/10/10 14:58,566.8
2019/10/11,2019/10/11 9:01,567.6,2019/10/11 14:58,565.8
2019/10/14,2019/10/14 9:01,566,2019/10/14 14:58,561.6
2019/10/15,2019/10/15 9:01,556.2,2019/10/15 14:58,559
2019/10/16,2019/10/16 9:01,558.4,2019/10/16 14:58,557
2019/10/17,2019/10/17 9:01,558,2019/10/17 14:58,557.8
2019/10/18,2019/10/18 9:01,560.2,2019/10/18 14:58,558.6
2019/10/21,2019/10/21 9:01,557,2019/10/21 14:58,559
2019/10/22,2019/10/22 9:01,557.6,2019/10/22 14:58,559
2019/10/23,2019/10/23 9:01,558.2,2019/10/23 14:58,556
