day,opentime,openprice,closetime,closeprice
2019/8/2,2019/8/2 9:01,1380,2019/8/2 14:58,1402.5
2019/8/5,2019/8/5 9:01,1398.5,2019/8/5 14:58,1400.5
2019/8/6,2019/8/6 9:01,1403.5,2019/8/6 14:58,1408.5
2019/8/7,2019/8/7 9:01,1409,2019/8/7 14:58,1396
2019/8/8,2019/8/8 9:01,1396,2019/8/8 14:58,1410.5
2019/8/9,2019/8/9 9:01,1416,2019/8/9 14:58,1413.5
2019/8/12,2019/8/12 9:01,1415,2019/8/12 14:58,1407.5
2019/8/13,2019/8/13 9:01,1412,2019/8/13 14:58,1414
2019/8/14,2019/8/14 9:01,1411.5,2019/8/14 14:58,1391.5
2019/8/15,2019/8/15 9:01,1399,2019/8/15 14:58,1391.5
2019/8/16,2019/8/16 9:01,1393.5,2019/8/16 14:58,1410
2019/8/19,2019/8/19 9:01,1412,2019/8/19 14:58,1410
2019/8/20,2019/8/20 9:01,1337,2019/8/20 14:58,1338
2019/8/21,2019/8/21 9:01,1332,2019/8/21 14:58,1325.5
2019/8/22,2019/8/22 9:01,1321.5,2019/8/22 14:58,1334
2019/8/23,2019/8/23 9:01,1327.5,2019/8/23 14:58,1330
2019/8/26,2019/8/26 9:01,1329.5,2019/8/26 14:58,1298.5
2019/8/27,2019/8/27 9:01,1303,2019/8/27 14:58,1299
2019/8/28,2019/8/28 9:01,1286,2019/8/28 14:58,1304.5
2019/8/29,2019/8/29 9:01,1300.5,2019/8/29 14:58,1292
2019/8/30,2019/8/30 9:01,1296.5,2019/8/30 14:58,1308
2019/9/2,2019/9/2 9:01,1304,2019/9/2 14:58,1316.5
2019/9/3,2019/9/3 9:01,1313,2019/9/3 14:58,1309
2019/9/4,2019/9/4 9:01,1312,2019/9/4 14:58,1319.5
2019/9/5,2019/9/5 9:01,1319,2019/9/5 14:58,1327.5
2019/9/6,2019/9/6 9:01,1327,2019/9/6 14:58,1324.5
2019/9/9,2019/9/9 9:01,1325,2019/9/9 14:58,1343.5
2019/9/10,2019/9/10 9:01,1340.5,2019/9/10 14:58,1337.5
2019/9/11,2019/9/11 9:01,1342.5,2019/9/11 14:58,1349.5
2019/9/12,2019/9/12 9:01,1351,2019/9/12 14:58,1357.5
2019/9/16,2019/9/16 9:01,1359.5,2019/9/16 14:58,1357
2019/9/17,2019/9/17 9:01,1350.5,2019/9/17 14:58,1346.5
2019/9/18,2019/9/18 9:01,1341.5,2019/9/18 14:58,1332
2019/9/19,2019/9/19 9:01,1334,2019/9/19 14:58,1322
2019/9/20,2019/9/20 9:01,1302.5,2019/9/20 14:58,1293
2019/9/23,2019/9/23 9:01,1296,2019/9/23 14:58,1300.5
2019/9/24,2019/9/24 9:01,1294.5,2019/9/24 14:58,1246.5
2019/9/25,2019/9/25 9:01,1249,2019/9/25 14:58,1255
2019/9/26,2019/9/26 9:01,1264,2019/9/26 14:58,1256
2019/9/27,2019/9/27 9:01,1242.5,2019/9/27 14:58,1238
2019/9/30,2019/9/30 9:01,1260.5,2019/9/30 14:58,1241.5
2019/10/8,2019/10/8 9:01,1270,2019/10/8 14:58,1260
2019/10/9,2019/10/9 9:01,1264,2019/10/9 14:58,1251.5
2019/10/10,2019/10/10 9:01,1251.5,2019/10/10 14:58,1253
2019/10/11,2019/10/11 9:01,1248.5,2019/10/11 14:58,1250
2019/10/14,2019/10/14 9:01,1251,2019/10/14 14:58,1235
2019/10/15,2019/10/15 9:01,1228,2019/10/15 14:58,1242.5
2019/10/16,2019/10/16 9:01,1239.5,2019/10/16 14:58,1215
